VoiceId: en-US-alina, Name: Alina (F), Locale: en-US
VoiceId: en-AU-shane, Name: Shane (M), Locale: en-AU
VoiceId: en-UK-peter, Name: Peter (M), Locale: en-UK
VoiceId: it-IT-giulia, Name: Giulia (F), Locale: it-IT
VoiceId: nl-NL-famke, Name: Famke (F), Locale: nl-NL
VoiceId: en-AU-ivy, Name: Ivy (F), Locale: en-AU
VoiceId: nl-NL-dirk, Name: Dirk (M), Locale: nl-NL
VoiceId: fr-FR-axel, Name: Axel (M), Locale: fr-FR
VoiceId: fr-FR-guillaume, Name: Guillaume (M), Locale: fr-FR
VoiceId: es-ES-carla, Name: Carla (F), Locale: es-ES
VoiceId: en-US-claire, Name: Claire (F), Locale: en-US
VoiceId: ko-KR-jangmi, Name: Jangmi (F), Locale: ko-KR
VoiceId: ko-KR-sanghoon, Name: SangHoon (M), Locale: ko-KR
VoiceId: ja-JP-denki, Name: Denki (M), Locale: ja-JP
VoiceId: it-IT-vera, Name: Vera (F), Locale: it-IT
VoiceId: hi-IN-rahul, Name: Rahul (M), Locale: hi-IN
VoiceId: es-ES-elvira, Name: Elvira (F), Locale: es-ES
VoiceId: es-ES-enrique, Name: Enrique (M), Locale: es-ES
VoiceId: en-UK-aiden, Name: Aiden (M), Locale: en-UK
VoiceId: en-US-ronnie, Name: Ronnie (M), Locale: en-US
VoiceId: en-UK-amber, Name: Amber (F), Locale: en-UK
VoiceId: hi-IN-shweta, Name: Shweta (F), Locale: hi-IN
VoiceId: hi-IN-amit, Name: Amit (M), Locale: hi-IN
VoiceId: en-AU-jimm, Name: Jimm (M), Locale: en-AU
VoiceId: en-UK-pearl, Name: Pearl (F), Locale: en-UK
VoiceId: pt-BR-benício, Name: Benício (M), Locale: pt-BR
VoiceId: en-UK-freddie, Name: Freddie (M), Locale: en-UK
VoiceId: en-US-ryan, Name: Ryan (M), Locale: en-US
VoiceId: pt-BR-eloa, Name: Eloa (F), Locale: pt-BR
VoiceId: en-US-charlotte, Name: Charlotte (F), Locale: en-US
VoiceId: de-DE-lia, Name: Lia (F), Locale: de-DE
VoiceId: en-US-natalie, Name: Natalie (F), Locale: en-US
VoiceId: ta-IN-suresh, Name: Suresh (M), Locale: ta-IN
VoiceId: en-US-michelle, Name: Michelle (F), Locale: en-US
VoiceId: en-US-phoebe, Name: Phoebe (F), Locale: en-US
VoiceId: es-ES-carmen, Name: Carmen (F), Locale: es-ES
VoiceId: en-US-caleb, Name: Caleb (M), Locale: en-US
VoiceId: en-US-iris, Name: Iris (F), Locale: en-US
VoiceId: en-UK-harrison, Name: Harrison (M), Locale: en-UK
VoiceId: en-US-marcus, Name: Marcus (M), Locale: en-US
VoiceId: en-US-josie, Name: Josie (F), Locale: en-US
VoiceId: en-US-ariana, Name: Ariana (F), Locale: en-US
VoiceId: en-US-daisy, Name: Daisy (F), Locale: en-US
VoiceId: en-US-charles, Name: Charles (M), Locale: en-US
VoiceId: en-UK-reggie, Name: Reggie (M), Locale: en-UK
VoiceId: sk-SK-tibor, Name: Tibor (M), Locale: sk-SK
VoiceId: en-US-julia, Name: Julia (F), Locale: en-US
VoiceId: en-SCOTT-emily, Name: Emily (F), Locale: en-SCOTT
VoiceId: en-US-dylan, Name: Dylan (M), Locale: en-US
VoiceId: es-MX-valeria, Name: Valeria (F), Locale: es-MX
VoiceId: en-IN-eashwar, Name: Eashwar (M), Locale: en-IN
VoiceId: en-AU-evelyn, Name: Evelyn (F), Locale: en-AU
VoiceId: de-DE-lara, Name: Lara (F), Locale: de-DE
VoiceId: en-US-evander, Name: Evander (M), Locale: en-US
VoiceId: en-SCOTT-rory, Name: Rory (M), Locale: en-SCOTT
VoiceId: pt-BR-yago, Name: Yago (M), Locale: pt-BR
VoiceId: ta-IN-iniya, Name: Iniya (F), Locale: ta-IN
VoiceId: en-AU-leyton, Name: Leyton (M), Locale: en-AU
VoiceId: ko-KR-minseo, Name: Minseo (F), Locale: ko-KR
VoiceId: fr-FR-louise, Name: Louise (F), Locale: fr-FR
VoiceId: fr-CA-clément, Name: Clément (M), Locale: fr-CA
VoiceId: zh-CN-wei, Name: Wei (F), Locale: zh-CN
VoiceId: ko-KR-gyeong, Name: Gyeong (F), Locale: ko-KR
VoiceId: de-DE-matthias, Name: Matthias (M), Locale: de-DE
VoiceId: it-IT-angelo, Name: Angelo (M), Locale: it-IT
VoiceId: en-IN-rohan, Name: Rohan (M), Locale: en-IN
VoiceId: en-US-delilah, Name: Delilah (F), Locale: en-US
VoiceId: en-US-paul, Name: Paul (M), Locale: en-US
VoiceId: en-US-lucas, Name: Lucas (M), Locale: en-US
VoiceId: bn-IN-abhik, Name: Abhik (M), Locale: bn-IN
VoiceId: en-US-angela, Name: Angela (F), Locale: en-US
VoiceId: en-US-naomi, Name: Naomi (F), Locale: en-US
VoiceId: es-MX-carlos, Name: Carlos (M), Locale: es-MX
VoiceId: nl-NL-merel, Name: Merel (F), Locale: nl-NL
VoiceId: ja-JP-kenji, Name: Kenji (M), Locale: ja-JP
VoiceId: en-US-alicia, Name: Alicia (F), Locale: en-US
VoiceId: en-IN-alia, Name: Alia (F), Locale: en-IN
VoiceId: zh-CN-jiao, Name: Jiao (F), Locale: zh-CN
VoiceId: en-US-june, Name: June (F), Locale: en-US
VoiceId: en-AU-ashton, Name: Ashton (M), Locale: en-AU
VoiceId: en-UK-finley, Name: Finley (M), Locale: en-UK
VoiceId: pl-PL-blazej, Name: Blazej (M), Locale: pl-PL
VoiceId: el-GR-stavros, Name: Stavros (M), Locale: el-GR
VoiceId: zh-CN-zhang, Name: Zhang (M), Locale: zh-CN
VoiceId: en-AU-sophia, Name: Sophia (F), Locale: en-AU
VoiceId: en-AU-kylie, Name: Kylie (F), Locale: en-AU
VoiceId: en-US-jayden, Name: Jayden (M), Locale: en-US
VoiceId: en-IN-aarav, Name: Aarav (M), Locale: en-IN
VoiceId: de-DE-björn, Name: Björn (M), Locale: de-DE
VoiceId: bn-IN-ishani, Name: Ishani (F), Locale: bn-IN
VoiceId: zh-CN-yuxan, Name: Yuxan (M), Locale: zh-CN
VoiceId: fr-FR-louis, Name: Louis (M), Locale: fr-FR
VoiceId: ko-KR-jong-su, Name: Jong-su (M), Locale: ko-KR
VoiceId: en-AU-harper, Name: Harper (M), Locale: en-AU
VoiceId: ta-IN-abirami, Name: Abirami (F), Locale: ta-IN
VoiceId: en-UK-ruby, Name: Ruby (F), Locale: en-UK
VoiceId: ja-JP-kimi, Name: Kimi (F), Locale: ja-JP
VoiceId: en-US-ken, Name: Ken (M), Locale: en-US
VoiceId: pt-BR-silvio, Name: Silvio (M), Locale: pt-BR
VoiceId: de-DE-ralf, Name: Ralf (M), Locale: de-DE
VoiceId: en-UK-jaxon, Name: Jaxon (M), Locale: en-UK
VoiceId: en-US-river, Name: River (NB), Locale: en-US
VoiceId: en-IN-priya, Name: Priya (F), Locale: en-IN
VoiceId: en-UK-theo, Name: Theo (M), Locale: en-UK
VoiceId: tl-PH-eraño, Name: Eraño (M), Locale: tl-PH
VoiceId: en-UK-katie, Name: Katie (F), Locale: en-UK
VoiceId: pl-PL-jacek, Name: Jacek (M), Locale: pl-PL
VoiceId: it-IT-lorenzo, Name: Lorenzo (M), Locale: it-IT
VoiceId: en-US-maverick, Name: Maverick (M), Locale: en-US
VoiceId: hi-IN-shaan, Name: Shaan (M), Locale: hi-IN
VoiceId: en-US-amara, Name: Amara (F), Locale: en-US
VoiceId: en-UK-mason, Name: Mason (M), Locale: en-UK
VoiceId: pt-BR-gustavo, Name: Gustavo (M), Locale: pt-BR
VoiceId: hi-IN-kabir, Name: Kabir (M), Locale: hi-IN
VoiceId: es-ES-javier, Name: Javier (M), Locale: es-ES
VoiceId: en-AU-mitch, Name: Mitch (M), Locale: en-AU
VoiceId: pt-BR-heitor, Name: Heitor (M), Locale: pt-BR
VoiceId: ko-KR-seok, Name: Seok (M), Locale: ko-KR
VoiceId: fr-CA-alexis, Name: Alexis (M), Locale: fr-CA
VoiceId: en-US-edmund, Name: Edmund (M), Locale: en-US
VoiceId: hi-IN-ayushi, Name: Ayushi (F), Locale: hi-IN
VoiceId: pl-PL-kasia, Name: Kasia (F), Locale: pl-PL
VoiceId: sk-SK-nina, Name: Nina (F), Locale: sk-SK
VoiceId: es-MX-luisa, Name: Luisa (F), Locale: es-MX
VoiceId: zh-CN-tao, Name: Tao (M), Locale: zh-CN
VoiceId: en-US-molly, Name: Molly (F), Locale: en-US
